Region,Country,iso3,year,lifeExpectancy,dentists,medics,nursesMid
European Union,Estonia,EST,2002,70.9,7.82,29.64,63.19
Asia,Thailand,THA,2013,75.4,1.1,3.86,19.79
European Union,Malta,MLT,2007,79.8,4.2,32.53,60.88
Rest of Europe,Ukraine,UKR,2007,68.2,4.54,30.43,65.48
Africa,Mauritius,MUS,2003,72.1,1.24,9.44,23.82
European Union,Latvia,LVA,2014,74.1,7.02,32.16,50.2
European Union,Italy,ITA,2004,80.8,5.67,36.67,53.27
Africa,Kenya,KEN,2002,51.6,0.23,1.38,NA
North America,Mexico,MEX,2013,74.9,1.23,21.64,28.16
North America,Mexico,MEX,2006,75.3,0.97,18.86,22.28
European Union,Greece,GRC,2009,80.2,13.3,57.91,35.95
Oceania,Australia,AUS,2009,81.5,5.26,31.04,107.34
European Union,Denmark,DNK,2006,78.1,8.51,34.24,98.03
Central America and Caribbean,Dominican Republic,DOM,2009,71.8,1.84,NA,13.09
Rest of Europe,Georgia,GEO,2006,70.6,3.11,40.55,41.87
European Union,Lithuania,LTU,2003,72.1,6.72,36.69,76.54
European Union,Cyprus,CYP,2003,78.4,6.71,18.51,30.7
Rest of Europe,Serbia,SRB,2009,74,3.43,29.73,60.91
Middle East,Saudi Arabia,SAU,2011,74.1,3.82,22.7,51.57
European Union,Germany,DEU,2006,79.1,7.82,34.65,95.96
North America,Mexico,MEX,2002,74.9,0.97,15.29,22.26
Central America and Caribbean,Panama,PAN,2006,76.1,2.82,13.56,20.13
European Union,Luxembourg,LUX,2010,80.6,8.32,27.71,114.03
Asia,Pakistan,PAK,2001,63.1,0.29,6.04,3.94
European Union,Slovak Republic,SVK,2010,75.1,4.94,33.59,64.21
Asia,Bangladesh,BGD,2013,70.9,0.39,4.12,1.95
Asia,Singapore,SGP,2003,79,2.73,14.27,35.75
European Union,Greece,GRC,2003,78.8,11.98,47.83,35.47
Central America and Caribbean,Trinidad and Tobago,TTO,2007,71.2,2.15,11.3,34.25
Oceania,New Zealand,NZL,2009,80.7,4.49,25.8,103
South America,Colombia,COL,2014,76.3,7.1,18.06,11.8
Africa,Libya,LBY,2004,71.7,1.48,12.32,47.34
Rest of Europe,Belarus,BLR,2006,69.4,4.84,33.93,99.92
Central America and Caribbean,Belize,BLZ,2008,71.1,0.85,8.51,16.39
South America,Bolivia,BOL,2007,66.4,0.62,3.27,6
Middle East,Oman,OMN,2012,76.1,2.27,19.89,44.06
South America,Chile,CHL,2008,78.3,0.01,10.31,NA
Middle East,Israel,ISR,2007,80.5,8.19,35.58,54.81
Middle East,Kuwait,KWT,2004,73.4,3.87,20.61,50.39
European Union,Slovenia,SVN,2014,81.1,6.63,27.75,86.43
European Union,Sweden,SWE,2003,80.1,8.14,32.83,108.1
Middle East,Turkiye,TUR,2004,72,2.61,14.16,17.35
Central America and Caribbean,Guatemala,GTM,2007,70.4,1.74,NA,NA
Rest of Europe,United Kingdom,GBR,2013,81,5.23,27.02,83.96
Rest of Europe,Bosnia and Herzegovina,BIH,2004,75.1,1.74,13.72,43.72
Asia,Lao PDR,LAO,2009,63.8,0.37,NA,8.53
Central America and Caribbean,Nicaragua,NIC,2006,71.4,0.45,5.01,11.78
Central America and Caribbean,Belize,BLZ,2012,73,1.32,11.09,13.49
Africa,Sierra Leone,SLE,2004,43.5,0.01,0.31,2.26
Middle East,Syrian Arab Republic,SYR,2008,73.6,7.19,13.62,16.89
Rest of Europe,Belarus,BLR,2013,72.5,5.49,39.39,108.06
Rest of Europe,Albania,ALB,2001,74.3,4.84,13.03,38.1
Asia,Kazakhstan,KAZ,2015,72,2.61,37.26,70.87
Rest of Europe,Norway,NOR,2007,80.4,8.72,38.44,159.81
South America,Chile,CHL,2004,77.4,0.01,9.74,NA
Asia,Singapore,SGP,2004,79.5,2.74,14.35,36.75
European Union,Ireland,IRL,2014,81.3,5.92,30.12,121.78
Central America and Caribbean,Cuba,CUB,2013,78.5,13.5,74.08,80.87
Asia,Kyrgyz Republic,KGZ,2010,69.3,1.86,18.71,49.37
European Union,Poland,POL,2009,75.7,3.2,21.79,58.59
Rest of Europe,Russian Federation,RUS,2004,65.5,2.92,47.4,98.77
Middle East,Kuwait,KWT,2007,73.8,4.64,22.36,52.48
European Union,Bulgaria,BGR,2000,71.7,8.47,34.41,44.51
European Union,Luxembourg,LUX,2012,81.4,8.31,28.07,122.89
European Union,Hungary,HUN,2005,72.6,4.48,27.87,61.59
Africa,Togo,TGO,2008,56.2,0.02,0.55,2.85
South America,Chile,CHL,2015,79.6,10,21.38,26.94
South America,Guyana,GUY,2009,67.8,0.39,NA,13.15
Africa,Morocco,MAR,2010,74.4,1.32,6.08,NA
Central America and Caribbean,Grenada,GRD,2002,72.9,0.83,5.35,33.76
Central America and Caribbean,Grenada,GRD,2012,72.7,0.8,8.25,NA
European Union,France,FRA,2015,82.3,6.53,31.84,90.26
Oceania,Timor Leste,TLS,2010,67.2,0.07,NA,11.57
European Union,Belgium,BEL,2014,81.3,7.23,29.75,112.03
Rest of Europe,United Kingdom,GBR,2015,81,5.3,27.67,83.6
Africa,Algeria,DZA,2007,73.9,3.11,11.95,19.28
Africa,Seychelles,SYC,2007,73.1,1.75,9.95,44.92
Africa,Comoros,COM,2004,59.9,0.29,1.98,10.13
Rest of Europe,United Kingdom,GBR,2009,80.1,5.02,26.42,89.57
Central America and Caribbean,Cuba,CUB,2007,78,9.65,64.16,86.65
Asia,Kyrgyz Republic,KGZ,2004,68.2,2.04,19.84,49.45
Rest of Europe,Montenegro,MNE,2012,76.2,0.46,20.14,48.78
Africa,Cameroon,CMR,2009,54.6,0.02,0.7,3.99
Middle East,Syrian Arab Republic,SYR,2010,72.1,7.11,13.88,17.82
Central America and Caribbean,St Lucia,LCA,2011,75,2.45,18.45,NA
Rest of Europe,Georgia,GEO,2011,71.8,4.51,47.47,41.52
Africa,Morocco,MAR,2012,75,1.33,4.78,NA
North America,Canada,CAN,2010,81.2,5.79,NA,93.42
European Union,Germany,DEU,2011,80.4,8.28,38.49,103.39
European Union,Cyprus,CYP,2011,79.6,6.83,22.06,36.18
European Union,Finland,FIN,2006,79.2,7.24,23.35,96.49
European Union,Slovenia,SVN,2004,77.2,5.98,23.02,74.35
European Union,Cyprus,CYP,2005,78.6,7.03,18.81,29.88
Asia,India,IND,2002,63.3,0.43,5.55,NA
Oceania,Micronesia Fed Sts ,FSM,2005,65.5,1.17,5.57,22.35
South America,Ecuador,ECU,2008,74.7,1.59,10.96,15.13
Rest of Europe,Russian Federation,RUS,2007,67.6,2.88,49.17,98.27
European Union,Cyprus,CYP,2006,78.8,6.78,18.22,32.98
Africa,Botswana,BWA,2008,56.7,0.09,3.67,28.8
Africa,Zimbabwe,ZWE,2007,44.9,0.15,NA,NA
Oceania,Australia,AUS,2011,81.9,5.37,32.96,108.4
Asia,Mongolia,MNG,2011,67.8,2.38,28.93,36.95
Africa,Morocco,MAR,2003,70.4,1,5.51,NA
Asia,Turkmenistan,TKM,2001,63.8,2.25,27.02,85.14
European Union,Lithuania,LTU,2008,71.8,6.9,38.81,77.58
Asia,Azerbaijan,AZE,2012,71.5,2.63,34.49,67.19
Rest of Europe,Albania,ALB,2003,74.8,4.33,11.86,36.04
European Union,Spain,ESP,2011,82.5,6.19,38.14,53.55
Asia,Tajikistan,TJK,2006,66.8,1.4,18.8,34.4
Africa,Algeria,DZA,2011,75.2,3.28,16.16,NA
Rest of Europe,Iceland,ISL,2009,81.8,9.23,36.47,160.73
North America,Mexico,MEX,2001,74.7,0.97,15.19,22.31
Rest of Europe,Iceland,ISL,2015,82.5,8.4,37.73,162.75
Middle East,Oman,OMN,2013,76.4,2.29,20.01,44.16
European Union,Poland,POL,2002,74.5,2.82,23.04,54.31
South America,Colombia,COL,2010,75.4,11.62,16.9,8.97
European Union,Poland,POL,2010,76.2,3.29,21.84,58.64
Central America and Caribbean,St Lucia,LCA,2001,73.5,1.69,NA,23.16
Rest of Europe,Norway,NOR,2010,81,8.78,41.14,166.55
European Union,Cyprus,CYP,2013,80,7,23.26,37.34
Rest of Europe,Armenia,ARM,2015,74.5,3.7,29.19,49.61
Rest of Europe,Ukraine,UKR,2006,68.1,4.53,30.4,65.56
European Union,Sweden,SWE,2004,80.5,8.27,33.73,110.09
Central America and Caribbean,El Salvador,SLV,2008,70.8,7.74,19.14,NA
Asia,Turkmenistan,TKM,2010,66.7,1.05,20.79,41.26
North America,United States,USA,2013,78.7,5.98,25.3,110
Africa,Central African Republic,CAF,2008,46.2,0.01,NA,1.83
South America,Ecuador,ECU,2014,75.9,2.6,16.84,21.8
European Union,Italy,ITA,2015,82.5,7.86,38.48,57.16
Rest of Europe,North Macedonia,MKD,2004,73.6,5.44,21.52,34.82
Asia,Malaysia,MYS,2005,73.6,1.07,7.78,25.38
European Union,Latvia,LVA,2015,74.5,7.17,31.97,48.85
European Union,Lithuania,LTU,2006,71.1,6.6,37.91,76.78
Africa,Kenya,KEN,2011,61.9,0.22,1.77,14.06
Rest of Europe,Serbia,SRB,2007,73.6,3.5,28.52,59.5
Rest of Europe,Norway,NOR,2015,82.3,8.42,40.91,155.19
Middle East,Turkiye,TUR,2002,71.1,2.44,13.71,16.98
Central America and Caribbean,Grenada,GRD,2010,72.9,0.81,7.17,NA
South America,Colombia,COL,2004,74,9.22,13.99,6.36
Africa,Madagascar,MDG,2002,59.7,0.07,1.3,2.99
Asia,Cambodia,KHM,2012,67.5,0.15,1.63,9.13
European Union,Malta,MLT,2005,79.3,4.72,34.04,56.74
Oceania,Kiribati,KIR,2010,65.8,0.37,3.77,37.17
Middle East,Bahrain,BHR,2014,76.6,1,9.74,25.37
Asia,Philippines,PHL,2000,68.8,1.08,11.94,42.28
European Union,Malta,MLT,2001,78.8,3.92,30.31,36.57
Africa,Egypt Arab Rep ,EGY,2014,71.1,1.5,7.3,18.13
Africa,Morocco,MAR,2002,69.8,0.96,4.78,NA
Africa,Zimbabwe,ZWE,2015,59.5,0.05,1.74,13.26
European Union,Czechia,CZE,2003,75.2,6.57,35.09,84.06
Central America and Caribbean,Antigua and Barbuda,ATG,2014,76.3,0.45,NA,48.87
Asia,Azerbaijan,AZE,2010,70.9,2.7,36.17,72.59
